TITLE;72 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;1;2
type;RandomNormal;RandomNormal
p1;0;0
p2;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
D plain [C] Manhattan(Average);1.0715;1.0807;1.1071;1.2238;1.4901
D plain [S] Manhattan(Average);1.0689;1.0688;1.0699;1.0692;1.0684
D PCA [C] Manhattan(Average);1.0828;1.2884;1.997;4.8137;8.666
D PCA [S] Manhattan(Average);1.0689;1.0688;1.0699;1.0692;1.0685
D DE (avg)[C] Manhattan(Average);1.1169;1.2078;1.4056;2.0321;3.2031
D DE (avg)[S] Manhattan(Average);1.074;1.0738;1.0746;1.0748;1.0744
D plain [C] Manhattan(GeometricAverage);1.0705;1.0794;1.1056;1.2166;1.4634
D plain [S] Manhattan(GeometricAverage);1.0679;1.0677;1.0689;1.0683;1.0671
D PCA [C] Manhattan(GeometricAverage);1.0817;1.2711;1.8874;4.2085;7.699
D PCA [S] Manhattan(GeometricAverage);1.0679;1.0677;1.0689;1.0683;1.0671
D DE (avg)[C] Manhattan(GeometricAverage);1.1173;1.2087;1.3861;1.9427;3.1962
D DE (avg)[S] Manhattan(GeometricAverage);1.0725;1.0721;1.0731;1.0732;1.0724
D plain [C] Manhattan(Median);1.0697;1.0795;1.1055;1.1938;1.4548
D plain [S] Manhattan(Median);1.0671;1.068;1.0697;1.0677;1.0665
D PCA [C] Manhattan(Median);1.0828;1.2545;1.9879;4.6226;8.6487
D PCA [S] Manhattan(Median);1.067;1.0686;1.0695;1.0678;1.0666
D DE (avg)[C] Manhattan(Median);1.1149;1.1954;1.3687;1.8076;3.1867
D DE (avg)[S] Manhattan(Median);1.0773;1.0777;1.0781;1.079;1.0787
D plain [C] Manhattan(Minimum);0.93094;0.89584;0.93733;0.95182;0.94044
D plain [S] Manhattan(Minimum);0.92451;0.89548;0.92731;0.92261;0.90212
D PCA [C] Manhattan(Minimum);0.93676;0.90339;0.79433;0.2599;0.40603
D PCA [S] Manhattan(Minimum);0.92543;0.89589;0.92653;0.922;0.90359
D DE (avg)[C] Manhattan(Minimum);0.96844;0.96894;0.99136;1.0164;1.012
D DE (avg)[S] Manhattan(Minimum);0.95846;0.95909;0.96026;0.96404;0.95038
D plain [C] Manhattan(MinimumTimesMedian);0.99581;0.96705;1.0362;1.1363;1.3682
D plain [S] Manhattan(MinimumTimesMedian);0.98654;0.95642;0.99192;0.98508;0.96214
D PCA [C] Manhattan(MinimumTimesMedian);1.0143;1.1333;1.5791;1.2014;3.5116
D PCA [S] Manhattan(MinimumTimesMedian);0.98747;0.95737;0.99097;0.98455;0.96379
D DE (avg)[C] Manhattan(MinimumTimesMedian);1.0547;1.0838;1.1903;1.6093;2.8267
D DE (avg)[S] Manhattan(MinimumTimesMedian);1.0321;1.0181;1.0288;1.032;1.0157
D plain [C] Manhattan(Summation);1312.6;1323.8;1356.3;1499.1;1825.4
D plain [S] Manhattan(Summation);1309.4;1309.3;1310.7;1309.8;1308.8
D PCA [C] Manhattan(Summation);1326.4;1578.3;2446.4;5896.7;10616
D PCA [S] Manhattan(Summation);1309.4;1309.3;1310.7;1309.7;1308.9
D DE (avg)[C] Manhattan(Summation);1373.8;1499;1681.6;2510.4;3959.6
D DE (avg)[S] Manhattan(Summation);1315.8;1315.6;1316.3;1316.8;1316
D plain [C] Euclidean(Average);0.16943;0.17991;0.21212;0.45928;1.2465
